Firm,year,CASH_ASSET,SIZE,MTB,LEV,DIV,CFO,VOL,RD,LIQ,CAPEX,TANG,AGE,SG
BDL,2017,0.163364128,4.102792114,1.196326206,0.20489514,1,0.147498719,0.014287178,0,-0.098448165,0.156175114,1.24353402,48,0.030921269
MALJF,2017,0.044339446,6.891556789,1.537373609,0.089638308,1,0.165162836,0.00534441,0,0.19154779,0.077911888,0.807070001,57,-0.034755435
FLO,2017,0.008065875,7.885977637,2.058222605,0.315045847,1,0.155092032,0.0047538,0.00061213,0.034509972,0.060294602,0.716983792,50,-0.001566636
FLR,2017,0.210685451,9.140742889,1.416443285,0.1735648,1,0.071354414,0.017763103,0,0.006633795,0.040895969,0.246106968,57,0.025448184
FONR,2017,0.102670028,4.592723041,1.797794721,0.005234754,0,0.229134392,0.014983456,0.018978177,0.29401699,0.060123731,0.381894029,36,0.063638098
F,2017,0.150992211,10.91680745,1.05716334,0.598456991,1,0.066584435,0.000332691,0.051028219,-0.06836483,0.055149569,0.385368181,57,0.032779974
FSTR,2017,0.095013062,5.982817267,1.338613336,0.327736814,0,0.089982247,0.029088801,0.004178031,0.226709469,0.059063537,0.476795207,37,0.109330857
FELE,2017,0.056719813,7.0777959,2.214541154,0.190701842,1,0.126883722,0.009440727,0.018490385,0.2328395,0.079762737,0.410162205,55,0.184294251
FUL,2017,0.044580092,8.380375491,1.383160759,0.562281368,1,0.066582337,0.048274743,0.013023577,0.10220527,0.064775036,0.295434897,55,0.102376343
TGNA,2017,0.019911066,8.50958734,1.409339058,0.606131257,1,0.127251182,0.012207205,0,0.042878893,-0.031337847,0.15771541,51,-0.430436029
GPS,2017,0.223181875,8.985820874,2.264906747,0.156339967,1,0.246714232,0.004971555,0,0.040555764,0.111903868,1.097383903,42,0.021848415
AJRD,2017,0.245716563,7.722544706,1.971319786,0.272900341,0,0.085270288,0.00424846,0.02375879,-0.058927702,0.036613981,0.426351441,57,0.065803668
JOB,2017,0.019638261,4.954523391,1.023979269,0.50957233,0,0.038620738,0.030674817,0,-0.008440574,0.033014843,0.033071255,51,0.624792354
GM,2017,0.120339605,10.91680745,1.1053501,0.44342109,1,0.118235898,0.013232827,0.050141495,-0.15867697,0.173346448,0.532633352,57,-0.124966943
SPXC,2017,0.060919428,7.620901146,1.501918688,0.174867673,0,0.034356009,0.011681269,0.016341703,0.023132719,0.013232699,0.228729661,57,-0.031583237
GCO,2017,0.030362192,7.18186035,0.862210372,0.06719489,0,0.129702825,0.011398773,0,0.302643473,0.137312189,0.725538316,57,0.013483404
